Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8089413483050533e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-3.133483446445126e-113,9.914761552927523e-66,1.3309689883909448e-51,5.661086755823862e-104,4.162540706561807e-56,3.036616894175371e-65,3.1224420896762544e-46,-7.264304567544519e-158,2.7692001487786177e-46,2.9512466825991953e-99,6.486634439193268e-69,2.1341124376014158e-106,-7.770828542939745e-123,9.020725760852516e-62,3.043833821313856e-84,1.8093158590027562e-62,5.788288932530139e-23,-6.787270059511379e-119,1.0101541164643363e-82,6.480313205133273e-19,2.8861835354035194e-18,3.1899085205226583e-35,5.788288932523766e-23,7.807324341020503e-49,1.3309684210693826e-51,1.263870486864825e-59,5.080198241241864e-38,4.4757381587274027e-54,9.835818405100215e-83
5.065035775254149e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,3.1711666582446897e-111,2.2217947841148983e-64,1.5801265668663618e-50,3.2605130658013833e-102,6.290431516888053e-55,9.547609329249332e-64,9.887348486523311e-46,1.524589555289997e-156,7.753767163464099e-46,8.32298784584342e-98,2.039501715786151e-67,1.2291397713729017e-104,7.441298653524044e-121,1.070940562328904e-60,8.145411745797128e-75,1.2122014904004113e-61,1.6207209011446329e-22,6.86889363901141e-117,6.145260416538097e-81,1.814487697437314e-18,8.081313899129858e-18,1.926704746429495e-34,1.6207209011407824e-22,9.268855458034331e-48,1.5801257095548683e-50,1.909961210939026e-58,3.0684397377116304e-37,5.313596342033269e-53,5.664927781346949e-81
1.157722462915234e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,6.640910553829957e-109,4.393342365173906e-63,1.5513777139761971e-49,1.462167070596168e-100,6.766959177672389e-54,2.130019119792303e-62,2.799520382223652e-45,1.9008896526385574e-154,1.772292818037094e-45,1.8104316534336965e-96,4.5500161395939533e-66,5.511981432024511e-103,1.5488530944497275e-118,1.0514557946864686e-59,7.330871186766895e-74,7.052111191483774e-61,3.7045049170726405e-22,1.4384519382447762e-114,2.774264301623519e-79,4.147400451285273e-18,1.8471574626582532e-17,9.276253978187014e-34,3.7045049170541034e-22,9.10021725303016e-47,1.5513767917884923e-49,2.0546491257910466e-57,1.4773216485554038e-36,5.216920397788007e-52,2.540391388533744e-79
2.4601602336948725e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599996,0.2012865879456902,0.1676987576445248,1.0672317022079633e-106,7.820537391885043e-62,1.3721760513040553e-48,5.501159908243483e-99,6.220001329700932e-53,3.989290077850218e-61,8.252308466413857e-45,1.970453687311756e-152,3.7661358164328154e-45,3.3562351695910575e-95,8.521676670417075e-65,2.073747285386629e-101,2.4801385100419608e-116,9.300007430439701e-59,5.946153439157984e-73,4.1481391703500104e-60,7.872072949507741e-22,2.3116732233580036e-112,1.0475094137244131e-77,8.813225958981131e-18,3.925209608148787e-17,4.051183821587801e-33,7.872072949426782e-22,8.049039104985106e-46,1.3721752037847313e-48,1.888576537080387e-56,6.451851766400408e-36,4.614307012069684e-51,9.557587324071783e-78
5.065035775254149e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559999,0.2012865879456902,0.16769875764452477,1.5258355558832686e-104,1.3192773961620544e-60,1.153396663775007e-47,1.9049615199260626e-97,5.321342092825243e-52,6.890506544102246e-60,2.648275270490388e-44,2.058662915241459e-150,7.753864993281683e-45,5.768510736556461e-94,1.4719077259056126e-63,7.180743066817248e-100,3.5389250690481826e-114,7.817216612798951e-58,4.765076338333603e-72,2.624576495150846e-59,1.6207209016694282e-21,3.305030379532243e-110,3.634296774554609e-76,1.8144876974372602e-17,8.081313899129851e-17,1.6912894980527334e-32,1.6207209016356294e-21,6.765702361016478e-45,1.1533959389279624e-47,1.6157169972467621e-55,2.693521107527263e-35,3.878603076448304e-50,3.309489045875468e-76
1.0274786858372703e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559998,0.20128658794569018,0.16769875764452474,2.0625438403730275e-102,2.167102652935624e-59,9.456242755652723e-47,6.338489303946371e-96,4.3997885498837274e-51,1.144867968258116e-58,9.224311347767743e-44,2.2759600661879978e-148,1.5729496067209206e-44,9.560883509316267e-93,2.445596701564883e-62,2.3890881729235075e-98,4.77888336688635e-112,6.409026475556455e-57,3.812902705432995e-71,1.801839771329938e-58,3.2877481160332707e-21,4.467565344981862e-108,1.2103725647501261e-74,3.6808179005154566e-17,1.6393522481091963e-16,6.90946945578594e-32,3.2877481158951917e-21,5.546931565832693e-44,9.456236766178111e-47,1.3359060720318557e-54,1.1003912598635462e-34,3.1799131373168116e-49,1.1010878516518514e-74
2.069428902460981e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559996,0.20128658794569015,0.16769875764452466,2.712522216796462e-100,3.5131161378292964e-58,7.657910577586856e-46,2.0683024181248878e-94,3.5778349835931896e-50,1.866423739096556e-57,3.409617243292385e-43,2.661846693291456e-146,3.168144909598419e-44,1.5567420317278943e-91,3.986939862668489e-61,7.794476240446818e-97,6.281652136179786e-110,5.190195805218033e-56,3.050491812033124e-70,1.3181992996158174e-57,6.621802548467097e-21,5.875448568045008e-106,3.950857648154239e-73,7.413478306671462e-17,3.301793964501613e-16,2.7929180286111706e-31,6.621802547908959e-21,4.4920490020008886e-43,7.657905713066036e-46,1.0863366540565412e-53,4.447957409867397e-34,2.5751761032800706e-48,3.592304935616481e-73
4.1533293357084026e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559992,0.20128658794569007,0.1676987576445245,3.519190801314354e-98,5.657885094829786e-57,6.16375267092981e-45,6.685059368945834e-93,2.8856535377693336e-49,3.0142793276012536e-56,1.3071905042391368e-42,3.2391310720338416e-144,6.358811867722003e-44,2.5125879218635317e-90,6.438918535555958e-60,2.5184374519960782e-95,8.147635329079343e-108,4.1775211209982416e-55,2.440686205887526e-69,1.0044121988766288e-56,1.328991142815931e-20,7.622730028493511e-104,1.2768489254883883e-71,1.487879911898192e-16,6.626677397286422e-16,1.1230200569482567e-30,1.3289911425915058e-20,3.6155918460238185e-42,6.163748757229531e-45,8.76169902953862e-53,1.788504111739359e-33,2.072725762960718e-47,1.160674267495711e-71
8.321130202203246e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599837,0.20128658794568993,0.16769875764452416,4.5350015150594805e-96,9.0822546502453e-56,4.946023353096458e-44,2.151064675246814e-91,2.3179138622014777e-48,4.845365994927092e-55,5.1148143047477996e-42,4.036218021517393e-142,1.2741251193448439e-43,4.037661358579828e-89,1.0350373514785483e-58,8.09814479771696e-94,1.0498087773461189e-105,3.3521976087170425e-54,1.9534643606438476e-68,7.833022726240933e-56,2.6626129246841974e-20,9.823023013540153e-102,4.1061548127685654e-70,2.9809440743596616e-16,1.3276444262855936e-15,4.50381272213504e-30,2.6626129237841516e-20,2.9012847701130017e-41,4.946020225002171e-44,7.037873723871407e-52,7.172701416563715e-33,1.6632318887191057e-46,3.732076901927966e-70
