Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3833690231672666e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,-4.321778575270012e-99,3.6550395310900464e-63,4.2439232001644245e-35,5.2315610044554867e-67,5.722407832712364e-48,7.869582518221985e-50,2.1035121677347357e-19,-1.1255361519710192e-97,2.1035121677326728e-19,3.1225079507568543e-65,1.1828063954821557e-64,1.7796103649123135e-69,5.144559410348428e-91,3.356599599604515e-49,7.301967627217643e-68,4.766587472493406e-36,2.149017700530561e-18,-7.623112537895273e-101,1.992274361018264e-70,9.190267527165522e-19,2.83443828821403e-19,5.0021119008321564e-29,2.1490177004303127e-18,6.26556750115512e-39,2.1764869244422123e-40,1.9905645180277982e-47,9.79258567530483e-37,1.493228775433826e-52,1.2367278547298653e-66,3.2234339802708545e-82,8.92459609130329e-84,2.196958531839996e-114,2.697778712441398e-67,5.998092353181664e-72,3.048503870750795e-114
6.673433264868347e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,4.3737526639441345e-97,9.200624032407125e-62,2.5633423061826756e-34,1.1702793415762248e-65,8.6477037367054e-47,9.342768960009216e-49,5.889834069664096e-19,2.1728646858866285e-96,5.889834069651636e-19,8.805973024155057e-64,3.7189327780834256e-63,3.980917443838413e-68,2.1229176858266887e-89,3.984955046246677e-48,1.3034687833010016e-64,2.8790188333776644e-35,6.017249561665968e-18,7.714788758718867e-99,1.211997779282983e-68,2.5732749075880048e-18,7.936427206999284e-19,3.021275587664018e-28,6.017249561060467e-18,7.438481735845589e-38,2.583925281723847e-39,3.0081115799005407e-46,5.9147217512684104e-36,1.772761203101514e-51,2.766510910030242e-65,2.6399638889903915e-80,6.88661853812698e-82,3.503395003796498e-112,1.641190596153097e-65,2.865360823046867e-70,4.861317615032047e-112
1.5253561748270506e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996531,0.022821567693054285,9.159310545555367e-95,1.908466615804056e-60,1.2341519065325221e-33,2.3122750617423882e-64,9.302805132341926e-46,9.172787159673316e-48,1.3462477873550154e-18,2.2943156448140137e-94,1.3462477873490167e-18,1.9154915005959517e-62,8.296734474192132e-62,7.865623019430251e-67,8.398058008828969e-88,3.9124524981558394e-47,1.323358194962628e-63,1.3861236369885534e-34,1.3753713284658358e-17,1.6155953814439797e-96,5.471537326282227e-67,5.8817712172575435e-18,1.8140405044569794e-18,1.4546141401040837e-27,1.3753713281743134e-17,7.303145474616509e-37,2.536913174710601e-38,3.2359792192741464e-45,2.84768391935834e-35,1.7405074634022365e-50,5.46616005079713e-64,2.8090166681133457e-78,7.505373903915368e-80,1.6057329205774427e-109,7.409118897812332e-64,1.4919874423571048e-68,2.228118062907481e-109
3.241381871507483e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199998,0.11866996602996528,0.022821567693054285,1.4719527642157066e-92,3.4700303546323405e-59,5.389979210095801e-33,4.1145709620048286e-63,8.550880653143741e-45,8.113228469961582e-47,2.8607765481431643e-18,1.813465306320159e-92,2.8607765481169647e-18,3.5509984232100154e-61,1.5538865488147104e-60,1.3996459421915978e-65,2.9972120636292065e-86,3.4605199333161936e-46,1.6509065407675359e-62,6.053566089937158e-34,2.922664073352945e-17,2.5963527229945217e-94,2.065948399394623e-65,1.2498763836303148e-17,3.8548360719710805e-18,6.35268210725846e-27,2.92266407207979e-17,6.459549461058082e-36,2.2438709923425337e-37,2.9744193407362874e-44,1.243658385864251e-34,1.5394591440566213e-49,9.726742198654349e-63,2.2732366665669797e-76,6.139862100530228e-78,5.499788301057088e-107,2.7975423433145748e-62,5.95413022960557e-67,7.631516650272578e-107
6.673433264868347e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999975,0.11866996602996524,0.02282156769305428,2.1044707482023775e-90,5.912951762439624e-58,2.250305152024594e-32,6.9398288103115855e-62,7.315458423565455e-44,6.819660925676394e-46,5.889834069763206e-18,1.2853199861184408e-90,5.889834069653828e-18,6.103259004088814e-60,2.6839526005668764e-59,2.3607086434161074e-64,1.0126934664882216e-84,2.9087755256813924e-45,3.318311843025547e-61,2.527244677799482e-33,6.017249564281686e-17,3.712040556184905e-92,7.16773484059285e-64,2.573274907322047e-17,7.936427206999281e-18,2.652119723702667e-26,6.017249558966514e-17,5.429640529400055e-35,1.886108804293515e-36,2.544678092685483e-43,5.19202897075797e-34,1.2940081754888411e-48,1.6405580644887224e-61,1.6273437888912133e-74,4.418903687129362e-76,1.622794583248386e-104,9.705974137187108e-61,2.116191145147577e-65,2.2517927832162798e-104
1.3537536051590076e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199996,0.11866996602996514,0.022821567693054278,2.8447123947300344e-88,9.760757400295976e-57,9.1940066121294e-32,1.1398701104381992e-60,6.0485624872559234e-43,5.591175854031583e-45,1.1947949113178275e-17,8.649614270311266e-89,1.1947949112731425e-17,1.0115704200298162e-58,4.459427426858514e-58,3.877474928687666e-63,3.329535926408384e-83,2.384789932769969e-44,9.271138162086546e-60,1.0324619127933067e-32,1.2206420550757264e-16,5.0177403458509925e-90,2.3871550453821063e-62,5.220071954235957e-17,1.609960947705567e-17,1.0834774409874822e-25,1.2206420529043047e-16,4.4515473352046594e-34,1.5463460039014634e-35,2.1039904061547805e-42,2.121113266236031e-33,1.0609060920237591e-47,2.694624252295538e-60,1.1001529921500536e-72,2.9952772689581713e-74,4.4553802671181554e-102,3.2324947343218318e-59,7.12791463400514e-64,6.182293672545244e-102
2.7265741625033534e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999925,0.11866996602996495,0.02282156769305427,3.741179178567587e-86,1.5861816948554865e-55,3.716991685952492e-31,1.8477822795818161e-59,4.9185905553459155e-42,4.527888562324698e-44,2.4064179200708337e-17,5.675328290358908e-87,2.4064179198902114e-17,1.6470801941264123e-57,7.269992334655677e-57,6.28556657239048e-62,1.0799408610342797e-81,1.931264743326119e-43,2.895488200062313e-58,4.173376127555139e-32,2.4584762542180794e-16,6.599003027556503e-88,7.79207217334865e-61,1.0513666046185557e-16,3.2425974017168424e-17,4.379589027937086e-25,2.458476245440846e-16,3.6049784205174244e-33,1.252271170311647e-34,1.7109329397419906e-41,8.573879120216374e-33,8.591492738692133e-47,4.36811080194629e-59,7.234395280371305e-71,1.9722256627245042e-72,1.1808532701150197e-99,1.0551401886566963e-57,2.339452979505407e-62,1.6385539752256787e-99
5.472215277192045e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999864,0.11866996602996457,0.022821567693054254,4.853757502015858e-84,2.5576434001686326e-54,1.4950904134157778e-30,2.9758083475946485e-58,3.9670214592716044e-41,3.644453755621899e-43,4.8296639378568176e-17,3.67752826088327e-85,4.829663937130543e-17,2.658394066170974e-56,1.1741057451449598e-55,1.012275184347238e-60,3.4792626693557585e-80,1.5544499233801818e-42,9.267057272688547e-57,1.6780961853829623e-31,4.934144659891734e-16,8.561461219046297e-86,2.5182634161029744e-59,2.110085422257188e-16,6.507870309739379e-17,1.7610134685719332e-24,4.934144624598867e-16,2.901600217511807e-32,1.0079369192238139e-33,1.3799343190536002e-40,3.4475192146288144e-32,6.915181035714816e-46,7.034736031667256e-58,4.692837712434962e-69,1.280189323697296e-70,3.0756870689570966e-97,3.410031210932156e-56,7.58113666811939e-61,4.2678277652645497e-97
1.0963497506569429e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999737,0.11866996602996382,0.022821567693054223,6.254791110204243e-82,4.1081057253029777e-53,6.000027036736535e-30,4.776869805630801e-57,3.186527353019783e-40,2.9244688900981306e-42,9.676155974548675e-17,2.36822523990743e-83,9.676155971635987e-17,4.2719678731494085e-55,1.8873408266501918e-54,1.6249389070291095e-59,1.1171756418008077e-78,1.2473482346243687e-41,2.9749419498662152e-55,6.729916247586473e-31,9.885481500794842e-16,1.1032720835548327e-83,8.098359903160092e-58,4.227523054529301e-16,1.3038416125784397e-16,7.062451501699309e-24,9.885481359254654e-16,2.3283513717844975e-31,8.088061186552501e-33,1.1084462999581077e-39,1.3826095031465569e-31,5.5489976580467116e-45,1.1292399973358367e-56,3.023670040005419e-67,8.251166710795723e-69,7.942000372750669e-95,1.0966152206939185e-54,2.441246908246728e-59,1.1020327110615724e-94
