Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241)
0.0,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599997,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0308557390845815e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,-6.677263019224486e-110,4.945879051820479e-64,1.4521586371244117e-49,2.729731889457319e-101,2.677507370675943e-54,2.569361585829903e-63,1.6066779073625025e-45,-6.339190870820267e-154,9.303690786903441e-46,1.0818102713790154e-96,3.235792000644794e-67,1.0290263476422737e-103,-7.173791685079251e-119,1.3393784615293762e-60,6.277269847246105e-81,7.2200109405788065e-62,1.9446864527561137e-22,-1.4463260503705336e-115,4.8707548106999985e-80,2.177185252047845e-18,2.2382726149012946e-18,6.107324882214204e-34,1.9446864527439004e-22,8.518211586523817e-47,1.4521582723918923e-49,8.12970451849124e-58,1.3236375629130269e-37,3.9178921976919947e-53,4.742628775838068e-80,4.3345248920772917e-91,2.2039292968718895e-92,-1.108466123080937e-135,3.6418110935042147e-79
2.886396069436828e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,6.7575638125207e-108,1.1083199758395586e-62,1.7240028523942006e-48,1.572232445622683e-99,4.0462491426275416e-53,8.078484159908749e-62,6.68995166334939e-45,1.7133483307392548e-152,2.6050463377605583e-45,3.050878057886438e-95,1.0173849095079517e-65,5.926672752112781e-102,6.869579822192886e-117,1.590110109531843e-59,8.887085993802645e-73,6.1333373154608754e-61,5.445122068410059e-22,1.4637195735700886e-113,2.9631179325571866e-78,6.096118705733895e-18,6.267163321723626e-18,3.688824229226225e-33,5.44512206833629e-22,1.011282079663625e-45,1.7240023013647613e-48,1.2285610279474005e-56,7.994770880017581e-37,4.6513216170604884e-52,2.73151143076107e-78,3.344713812382883e-89,1.7006507200685749e-90,3.7133734125779895e-133,2.215491410465255e-77
6.597476730141321e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599994,0.11866996602996531,0.022821567693054278,1.4151377618890165e-105,2.1915746399555566e-61,1.6926362758255655e-47,7.050994242896332e-98,4.352770188965299e-52,1.8022653784139735e-60,2.562151326953268e-44,2.9732263981097206e-150,5.954452525611389e-45,6.636326174507153e-94,2.269729776560977e-64,2.657776507231546e-100,1.4298539112162696e-114,1.5611795347713223e-58,7.998390247068982e-72,4.758255243076556e-60,1.244599330248971e-21,3.0652538382978255e-111,1.3376930760355016e-76,1.3933985613105706e-17,1.4324944735368284e-17,1.7760100763011617e-32,1.2445993302134544e-21,9.928827428687909e-45,1.6926356834814225e-47,1.3216299122730107e-55,3.849138032984773e-36,4.5666951455067975e-51,1.2249243761847214e-76,3.6452327238173837e-87,1.8534524103317522e-88,4.03365073881231e-130,1.0001787260514047e-75
1.4019638051550309e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599992,0.1186699660299653,0.02282156769305427,2.274206031604319e-103,3.9011963998759577e-60,1.4971176386438704e-46,2.653095350015007e-96,4.0009457236577594e-51,3.375443594723312e-59,9.854469288491316e-44,4.22162880136372e-148,1.265347158015482e-44,1.2302630302648375e-92,4.2509526782212963e-63,9.999277450554229e-99,2.2895881888762856e-112,1.3808456187247174e-57,6.487632601871228e-71,3.664239987488893e-59,2.6447735781736054e-21,4.926035439991613e-109,5.050874533198046e-75,2.9609719427848186e-17,3.0440507562657585e-17,7.756302606129172e-32,2.6447735780184958e-21,8.78193542444043e-44,1.4971170949861553e-46,1.2148056161070572e-54,1.6810197049340513e-35,4.03919013987355e-50,4.608471650611241e-75,2.982026692279026e-85,1.5162392569309334e-86,2.9612329390829714e-127,3.77648456758853e-74
2.886396069436828e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599985,0.11866996602996527,0.022821567693054254,3.2514630353470236e-101,6.581082565261223e-59,1.2584175925442254e-45,9.189148755176012e-95,3.422893307332332e-50,5.830239401164922e-58,3.846312779371361e-43,5.6400256447849195e-146,2.605233640461007e-44,2.1145078192664874e-91,7.342463620678358e-62,3.4624724686576676e-97,3.267027634239933e-110,1.1606839447536436e-56,5.199163923987563e-70,2.8553737202704185e-58,5.445122078457689e-21,7.042819305607566e-107,1.7523830156691643e-73,6.096118705732856e-17,6.267163321723614e-17,3.238103657695391e-31,5.4451220778101384e-21,7.381745882541439e-43,1.2584171288237168e-45,1.0392918313942691e-53,7.01792635887412e-35,3.395182691774218e-49,1.5957674189864323e-73,2.146186255080049e-83,1.0912485550440313e-84,1.8042447623211048e-124,1.310237935314807e-72
5.855260598000423e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599972,0.1186699660299652,0.022821567693054223,4.395155854753204e-99,1.0810373562325443e-57,1.0317267776439462e-44,3.058832851681946e-93,2.830114389286565e-49,9.687029979618377e-57,1.517765353002683e-42,7.357216568864185e-144,5.285337291500459e-44,3.5046416523728156e-90,1.2199613142356498e-60,1.1520131207345792e-95,4.411719308205194e-108,9.515988235210529e-56,4.160785780254257e-69,2.249829861681751e-57,1.1045819096765121e-20,9.520110845466272e-105,5.836167113930359e-72,1.2366412231627096e-16,1.2713388452639298e-16,1.3228710031435806e-30,1.1045819094119667e-20,6.052001272279505e-42,1.0317263965319288e-44,8.59306668091061e-53,2.867051907033421e-34,2.78357589860006e-48,5.309218725391479e-72,1.4547549096275533e-81,7.39684006642413e-83,1.0061010395832358e-121,4.363639393938705e-71
1.1792989655127612e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599947,0.11866996602996507,0.022821567693054157,5.780220397680417e-97,1.7524826411990688e-56,8.355190978122585e-44,9.989540874808573e-92,2.3014020371235336e-48,1.5792303798996306e-55,6.027877136380201e-42,9.500629242871416e-142,1.0646867338181352e-43,5.706400452881108e-89,1.9888448513093808e-59,3.7586232493367944e-94,5.799029610120234e-106,7.706293992205952e-55,3.3305597325397324e-68,1.7852391567452877e-56,2.2247213204337046e-20,1.2520224702092288e-102,1.9050221638355076e-70,2.490699928340822e-16,2.560583871447059e-16,5.347256121808241e-30,2.2247213193643693e-20,4.901067557600023e-41,8.35518791641552e-44,6.98774048064022e-52,1.1589082211480851e-33,2.2542119310934677e-47,1.7321354197382606e-70,9.578759334430546e-80,4.87041432100413e-81,5.373719787237329e-119,1.424364590994705e-69
2.366844776938199e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599896,0.11866996602996482,0.02282156769305403,7.499182341377704e-95,2.8223790564695877e-55,6.724984632341172e-43,3.2341375301417723e-90,1.856164144548e-47,2.5504612987017938e-54,2.40234753433371e-41,1.2212491613949599e-139,2.137521841001813e-43,9.210153469925235e-88,3.211989769197886e-58,1.214524407726618e-92,7.521648437243613e-104,6.202695838441733e-54,2.6704018577541717e-67,1.422171548003591e-55,4.4650001703309134e-20,1.6243575772826688e-100,6.156702544721757e-69,4.998817338694112e-16,5.139073923813281e-16,2.150108183149498e-29,4.4650001660311634e-20,3.9448055835057646e-40,6.724982223348362e-43,5.635868049111106e-51,4.659918987478478e-33,1.8143858730686674e-46,5.596532187429356e-69,6.217654244927572e-78,3.161431031365921e-79,2.8098507903188065e-116,4.603300328267263e-68
4.7419363997890746e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599794,0.11866996602996432,0.02282156769305377,9.663813659145416e-93,4.530591353279881e-54,5.3963767134519417e-42,1.0441070373629602e-88,1.4909720277667062e-46,4.0997921026716745e-53,9.59161711757876e-41,1.566451157842032e-137,4.285308446812785e-43,1.4800469798781485e-86,5.163179814494544e-57,3.9059532782630406e-91,9.69151462996858e-102,4.977272779958158e-53,2.1554270137762308e-66,1.1352951127563454e-54,8.945557983656624e-20,2.0932267324490452e-98,1.9799033321978826e-67,1.0015052159388938e-15,1.029605402854558e-15,8.622895591382694e-29,8.945557966412702e-20,3.1654580935844316e-39,5.3963748754280577e-42,4.527039248192086e-50,1.8688359346532831e-32,1.4559303953714965e-45,1.79953060983154e-67,4.007441119104964e-76,2.0376298305259003e-77,1.453823017243989e-113,1.4803524609294036e-66
9.492119645490826e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690038559959,0.11866996602996333,0.022821567693053255,1.241136622925782e-90,7.260797803290581e-53,4.3236682989463297e-41,3.376066490402219e-87,1.1951986966438027e-45,6.5749507573826326e-52,3.833075673766701e-40,2.0071208946914596e-135,8.58934722463818e-43,2.373224965299341e-85,8.280335248701649e-56,1.2533789848329726e-89,1.2446139588201566e-99,3.9878750391133074e-52,1.7856046269288944e-65,9.072523874356062e-54,1.7906674064433228e-19,2.6883593281947553e-96,6.351350642783059e-66,2.004752180073159e-15,2.061001423800961e-15,3.4536560091855586e-28,1.7906673995367594e-19,2.536218578084873e-38,4.323666981074515e-41,3.6289879671871806e-49,7.485091540725533e-32,1.1665160261761856e-44,5.772361463057597e-66,2.5738033811101313e-74,1.3086861281591439e-75,7.482693895013848e-111,4.748836782305718e-65
1.8992486136894329e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599184,0.11866996602996131,0.022821567693052224,1.591328415854134e-88,1.162676726283833e-51,3.4615637911068777e-40,1.0988644988858813e-85,9.571284199395062e-45,1.0532164382998981e-50,1.5325144328170354e-39,2.5704297629189732e-133,1.7231287048534623e-42,3.801284814176243e-84,1.3263955176101947e-54,4.018614397460238e-88,1.5957353408318627e-97,3.1927248345236205e-51,1.6247300267360954e-64,7.254070801155165e-53,3.582890804248715e-19,3.446890953247223e-94,2.0349416794013675e-64,4.01124610832289e-15,4.123793465693538e-15,1.3823625277941194e-27,3.582890776604461e-19,2.0305171150988115e-37,3.4615629848440272e-40,2.906142701236605e-48,2.995987291954736e-31,9.339221081724093e-44,1.8493770173997203e-64,1.6501325768593398e-72,8.390405571393305e-74,3.841187832621091e-108,1.521504146537624e-63
3.7993219119701337e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690038559837,0.1186699660299573,0.02282156769305016,2.0386135944614194e-86,1.861042392816829e-50,2.7703033549375923e-39,3.6287800141564196e-84,7.660908472292292e-44,1.6861265305520074e-49,6.128624895009566e-39,3.2909905475300105e-131,3.4650615796764956e-42,6.085358531093249e-83,2.1234673124851965e-53,1.2886368264295038e-86,2.044226082160725e-95,2.5551502090534695e-50,1.928100258243342e-63,5.801675009667496e-52,7.167338326459795e-19,4.415731351669826e-92,6.515832683467832e-63,8.024233964747152e-15,8.249377549477775e-15,5.5312513250564404e-27,7.167338215846753e-19,1.625031004810191e-36,2.7703031083681183e-39,2.326106584891216e-47,1.1987851658095656e-30,7.474215174065329e-43,5.921563557261579e-63,1.0570126491720903e-70,5.374675741843778e-72,1.9692652607301527e-105,4.871818909374646e-62
7.599468508531535e-19,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385596743,0.11866996602994928,0.022821567693046035,2.610523390006899e-84,2.9782756481447216e-49,2.2166640412549685e-38,1.2321719600186984e-82,6.1302817896775004e-43,2.6985873165878583e-48,2.451163625790098e-38,4.213007025734989e-129,7.003106991461405e-42,9.739220028737481e-82,3.398536166193964e-52,4.137087683545203e-85,2.6176889532587403e-93,2.044508395385097e-49,3.553617663057311e-62,4.640707513396716e-51,1.433623627728316e-18,5.654514458746872e-90,2.0857105510208714e-61,1.6050209677294875e-14,1.650054571704259e-14,2.2128611862e-26,1.433623583475887e-18,1.3002720183384756e-35,2.2166644821394167e-38,1.861379820628413e-46,4.79592129415319e-30,5.980507619828063e-42,1.895469960273691e-61,6.767843538489415e-69,3.4414251526153255e-70,1.0089244742348214e-102,1.5594639173703062e-60
1.5199761701654337e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385593487,0.11866996602993322,0.022821567693037784,3.342175281454344e-82,4.765727235092815e-48,1.7735003355911753e-37,4.395537504222596e-81,4.9048510126471405e-42,4.3183690711312694e-47,9.804084884378182e-38,5.392998546754632e-127,1.4295916639297495e-41,1.5584880213767832e-80,5.438450545093696e-51,1.33188314678201e-83,3.3513348067550594e-91,1.6357620379444035e-48,9.27937903626418e-61,3.7123140378669734e-50,2.8674043804534985e-18,7.239306396747182e-88,6.6753094051639e-60,3.210216110118711e-14,3.300288205215757e-14,8.852169005255518e-26,2.867404203429297e-18,1.0403168896465108e-34,1.7735017095773793e-37,1.4893296495476792e-45,1.9185246723025806e-29,4.784860199755956e-41,6.066417257800241e-60,4.3323580784588144e-67,2.2031508360846513e-68,5.167389149705056e-100,4.991060700946637e-59
3.040034808789994e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385586976,0.11866996602990111,0.022821567693021284,4.2784421004922905e-80,7.625552179833401e-47,1.4188687797904302e-36,1.6959770216462694e-79,3.924136658228182e-41,6.909898423078828e-46,3.921522583045023e-37,6.903273841993402e-125,2.9748412637722297e-41,2.493754543999062e-79,8.702160752965007e-50,4.3123739971544426e-82,4.2901568268879306e-89,1.3086717843923936e-47,2.8021634157272554e-59,2.9697522353696223e-49,5.734970536146072e-18,9.267303893552039e-86,2.1362678667238683e-58,6.420606394415878e-14,6.600755472232894e-14,3.5410147767626653e-25,5.7349698280198716e-18,8.322938296236368e-34,1.4188715131290899e-36,1.191598759829072e-44,7.674411148338222e-29,3.828069592087421e-40,1.9414008480469406e-58,2.7729965738503353e-65,1.4103696357318403e-66,2.646141408315937e-97,1.5972668462367315e-57
6.080152086039115e-18,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385573953,0.1186699660298369,0.02282156769298828,5.47671489356211e-78,1.2201193167366135e-45,1.1351238157750644e-35,7.278926712421498e-78,3.1394206298117045e-40,1.1056257825529254e-44,1.5685888131701866e-36,8.83637219409419e-123,6.412092269108143e-41,3.9901572649243176e-78,1.3923987324376742e-48,1.4120306224162873e-80,5.491699767349772e-87,1.046962325099465e-46,8.833370686857162e-58,2.3757650919557675e-48,1.1470121448501769e-17,1.1862818863892359e-83,6.83634744807699e-57,1.2841386961085085e-13,1.320169000624373e-13,1.4164372001013623e-24,1.1470118615934288e-17,6.658521605734259e-33,1.1351286171334886e-35,9.534045744481592e-44,3.0698270632679195e-28,3.062527898168037e-39,6.212725940375953e-57,1.7747933188144727e-63,9.029398750854738e-65,1.3549406150483777e-94,5.111478426797774e-56
1.2160386640537358e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385547907,0.11866996602970847,0.02282156769292227,7.010433876146205e-76,1.9522152933941872e-44,9.081127882546001e-35,3.514358091582632e-76,2.5115953633119725e-39,1.7690393621472913e-43,6.274331256982887e-36,1.1310751643007617e-120,1.4673610498785624e-40,6.384406891513983e-77,2.227886204503452e-47,4.723510106635334e-79,7.029598102352223e-85,8.375798757516486e-46,2.816043653008448e-56,1.9006020438124151e-47,2.294049767710844e-17,1.5184926861074615e-81,2.187690486660426e-55,2.5682948086723e-13,2.640355907417165e-13,5.665826211317728e-24,2.2940486346683275e-17,5.326901181580422e-32,9.081208128811687e-35,7.628883663447959e-43,1.2279434350231293e-27,2.4500506481923405e-38,1.988116015125296e-55,1.1358708162800789e-61,5.782221693894058e-63,6.937634765104132e-92,1.63572222659948e-54
2.432085574953384e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385495815,0.11866996602945162,0.02282156769279025,8.973613274789709e-74,3.1235627370125113e-43,7.26499274826762e-34,1.883066958405823e-74,2.009322774786939e-38,2.8305078085969775e-42,2.5097408603326664e-35,1.4478089211263657e-118,3.674478380540165e-40,1.021528810621037e-75,3.5646751449159885e-46,1.6426933778759087e-77,8.998107310027824e-83,6.700679973484681e-45,9.002981647451749e-55,1.520485062436097e-46,4.58815477500048e-17,1.9437268712188998e-79,7.00078673756709e-54,5.136607030719682e-13,5.280729720965251e-13,2.2663578320420383e-23,4.588150242775846e-17,4.261579318111601e-31,7.265123882737564e-34,6.105597457854478e-42,4.911799670535107e-27,1.960050953776004e-37,6.362071893370634e-54,7.269313420909632e-60,3.704829652549885e-61,3.5521980234203345e-89,5.234474255009542e-53
4.864179396752681e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385391632,0.11866996602893791,0.02282156769252621,1.1486659043898083e-71,4.997711020627514e-42,5.8120871745719115e-33,1.0880247378024974e-72,1.6075135182873542e-37,4.528894247867342e-41,1.0039085410933893e-34,1.8532681078882177e-116,1.0308025357797639e-39,1.6345011805810947e-74,5.703585627877595e-45,6.096061617267332e-76,1.1517922539011962e-80,5.360561814453014e-44,2.880355035429886e-53,1.2164013240016408e-45,9.176483835936636e-17,2.4880653544352385e-77,2.240332774029882e-52,1.027323146249364e-12,1.0561477347911416e-12,9.065580945427276e-23,9.176465706737432e-17,3.40932650599921e-30,5.812299184517929e-33,4.888404960806944e-41,1.9647256235994282e-26,1.5680435027872642e-36,2.0358987581115256e-52,4.651932305783026e-58,2.3764274285216275e-59,1.8188017187963e-86,1.675111957383133e-51
9.728367040351274e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385183267,0.1186699660279105,0.022821567691998137,1.4703889997271766e-69,7.996333441449264e-41,4.6497978083268544e-32,6.588803570223323e-71,1.2860916629739424e-36,7.246443049880925e-40,4.015742761913643e-34,2.3723621942423317e-114,3.2452829192924227e-39,2.615361533347466e-73,9.126012120924462e-44,2.4879937392192e-74,1.4743682143715076e-78,4.2884589080939096e-43,9.217059728610727e-52,9.731454138036117e-45,1.8353618143898442e-16,3.1849353955929973e-75,7.169531598193463e-51,2.0546480276758344e-12,2.1122972601203757e-12,3.626338239257339e-22,1.835354562498433e-16,2.727549949553385e-29,4.6501387878124884e-32,3.916984225962135e-40,7.858918568508088e-26,1.2544336045148894e-35,6.515058982710582e-51,2.9766580141525445e-56,1.5277266384178424e-57,9.31290362044589e-84,5.360832801707624e-50
