Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231)
0.0,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.250585075865404e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,-4.334698924910362e-99,5.857500161016999e-63,3.3616919969636976e-35,4.9428505728840926e-67,2.378442751703514e-48,1.4170198371816407e-49,1.8721515410216021e-19,-1.1463393870172298e-98,1.8721515410206394e-19,6.809879075073919e-66,1.8955441605176434e-64,1.6814002750269448e-69,4.3260377625888176e-91,6.04399067541596e-49,8.356008361653748e-69,1.6357233772496545e-35,1.912652021412374e-18,-7.645902525309501e-101,9.876823702100972e-71,8.179450434066624e-19,1.0928821381424121e-18,2.335991861337403e-29,1.9126520213655582e-18,1.5353248762486616e-39,5.333299040266987e-41,8.273517473316562e-48,3.360467294962897e-36,4.560627638521469e-52,1.1684774353338628e-66,7.367927421495157e-83,3.9377913743775254e-84
3.501638212423131e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,4.38682832703147e-97,1.4744752954831318e-61,2.0304650765509124e-34,1.1056959370118199e-65,3.5943030907796027e-47,1.682286006859511e-48,5.2420243148636785e-19,2.213025657193371e-97,5.24202431485786e-19,1.9204950656542686e-64,5.959894122736517e-63,3.76122527916959e-68,1.7851519664380937e-89,7.175425731361935e-48,3.1484827747020733e-65,9.879769198572874e-35,5.355425660038896e-18,7.737852700909935e-99,6.008554020446104e-69,2.2902461215300894e-18,3.0600699867987533e-18,1.4109390841403152e-28,5.3554256597561245e-18,1.822737692886242e-38,6.33169262706729e-40,1.2502815323487478e-46,2.0297222467669756e-35,5.414377133905391e-51,2.6138373670878558e-65,5.685422894173122e-81,3.0385762544456266e-82
8.003744485538585e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,9.186692974612911e-95,3.0584739275659625e-60,9.775846982941634e-34,2.1846689904578905e-64,3.866587275409941e-46,1.6516784900588216e-47,1.1981769862560603e-18,2.336721387774791e-95,1.1981769862532584e-18,4.177496300927981e-63,1.329619594170692e-61,7.431547822944539e-67,7.061886635170566e-88,7.044875535853628e-47,3.0055569671023082e-64,4.7566835810194354e-34,1.2240972937628912e-17,1.6204253220490398e-96,2.7125484951790745e-67,5.23484827774268e-18,6.994445684111437e-18,6.793064331157023e-28,1.2240972936267498e-17,1.7895746751473145e-37,6.216493381368405e-39,1.3449916020167757e-45,9.772238902718689e-35,5.315867579878253e-50,5.164502509940179e-64,6.196251975746701e-79,3.311589061336485e-80
1.7007957031769494e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199999,0.20128658794569018,0.1676987576445248,1.4763532688863318e-92,5.561007600454161e-59,4.2693970471068135e-33,3.887502254723737e-63,3.554059862429038e-45,1.4608911187464726e-46,2.546126095800552e-18,1.8469835120307202e-93,2.546126095788315e-18,7.744374106289907e-62,2.4902303508938665e-60,1.3224044028658316e-65,2.5203393023534805e-86,6.2311126362769395e-46,3.098719451056131e-63,2.0773686890837493e-33,2.6012067494156852e-17,2.6041146991679506e-94,1.0242067019821385e-65,1.1124052590030808e-17,1.4863197078736798e-17,2.9667096622326166e-27,2.6012067488211204e-17,1.5828585331402543e-36,5.49841802062338e-38,1.23627759301678e-44,4.267793473787053e-34,4.701824679401481e-49,9.1899574897919e-63,5.0689188286602754e-77,2.709085503951309e-78
3.501638212423131e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999987,0.20128658794569013,0.1676987576445248,2.1107621925526877e-90,9.475989044073345e-58,1.7824124866564772e-32,6.556842489356446e-62,3.04057303774972e-44,1.2279673448734136e-45,5.242024314909965e-18,1.3090765035047353e-91,5.242024314858878e-18,1.3310600391744796e-60,4.301253664515019e-59,2.2304288997728814e-64,8.515671219940659e-85,5.237625632714797e-45,4.7665649906096705e-62,8.672605345967859e-33,5.355425661260438e-17,3.72313792905445e-92,3.5534488692503515e-64,2.2902461214058863e-17,3.060069986798753e-17,1.2385428833817937e-26,5.355425658778247e-17,1.330487970242107e-35,4.62175169183723e-37,1.0576611660289074e-43,1.7817197680202446e-33,3.9521669581005e-48,1.5500210622170288e-61,3.648137675026695e-75,1.9497485623208e-76
7.103323230915494e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199997,0.20128658794569004,0.16769875764452477,2.85321679195907e-88,1.564241237135796e-56,7.281926700636547e-32,1.0769639151387231e-60,2.514004585569205e-43,1.006762368038268e-44,1.0633820753210507e-17,8.809484744427374e-90,1.0633820753001799e-17,2.206134398804985e-59,7.146597327168116e-58,3.663488095470233e-63,2.7997758155503243e-83,4.2941219528299067e-44,1.1384977746916707e-60,3.543042263880202e-32,1.0863863487106594e-16,5.032741109082534e-90,1.1834468561306416e-62,4.6459278459922134e-17,6.207570544648895e-17,5.0598517986372133e-26,1.0863863476966032e-16,1.0908144206625667e-34,3.7891913386219366e-36,8.744948887130796e-43,7.278906649125856e-33,3.240225266667618e-47,2.5459155901761324e-60,2.4728264785429068e-73,1.3216031302295834e-74
1.4306693267900222e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999937,0.20128658794568988,0.16769875764452474,3.7523634859221355e-86,2.5419859281072227e-55,2.943624893978929e-31,1.7458067553319544e-59,2.0443467758606672e-42,8.15303155339243e-44,2.1417413630138458e-17,5.780225159698725e-88,2.141741362929483e-17,3.5921179627207624e-58,1.1650757458537173e-56,5.93867833023919e-62,9.081066919539046e-82,3.477491314516036e-43,3.3754915463909604e-59,1.4321543313580567e-31,2.1880739147425514e-16,6.618730839184236e-88,3.8629677794289686e-61,9.357291294287735e-17,1.250257166034916e-16,2.0452729917683552e-25,2.1880739106435744e-16,8.833697958232703e-34,3.068585496243263e-35,7.111253047128626e-42,2.942250476317539e-32,2.6240184530192486e-46,4.127043230275664e-59,1.6282199570469296e-71,8.702029349317811e-73
2.8713433341869677e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199987,0.20128658794568954,0.1676987576445247,4.868267571238119e-84,4.0988327154669974e-54,1.1837422234950077e-30,2.8115738836648166e-58,1.64883973370746e-41,6.56228338054948e-43,4.298459938530182e-17,3.7454998759426506e-86,4.298459938190964e-17,5.79769286537678e-57,1.8816004762608795e-55,9.564078525008496e-61,2.9256260884132236e-80,2.7989875842431516e-42,1.0654369259651152e-57,5.758629577357269e-31,4.391449050256981e-16,8.587055286096945e-86,1.2484445222175125e-59,1.8780018187370248e-16,2.509257389174965e-16,8.223952702817474e-25,4.391449033775173e-16,7.11012857796873e-33,2.469864743437805e-34,5.735493750252902e-41,1.1830659993901376e-31,2.1120383733593855e-45,6.646489896075277e-58,1.0568914425828406e-69,5.648562773861533e-71
5.752691348980858e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999737,0.20128658794568888,0.16769875764452455,6.273488710379241e-82,6.583575169553507e-53,4.748327143864461e-30,4.513217772957575e-57,1.3244377377326012e-40,5.2658420661919025e-42,8.611897090085844e-17,2.4119970634459653e-84,8.611897088725425e-17,9.316736763162576e-56,3.024617922674943e-54,1.5352528857743214e-59,9.393824920991321e-79,2.2460113255280208e-41,3.408337554972855e-56,2.3094680210438065e-30,8.7981993350884165e-16,1.1065701218020635e-83,4.014811046806725e-58,3.7625471959501157e-16,5.027257835455043e-16,3.298172824848058e-24,8.798199268988994e-16,5.705430318230728e-32,1.981911191064957e-33,4.607077871850864e-40,4.744623984047415e-31,1.6947778439522166e-44,1.066913321558606e-56,6.811942406252185e-68,3.6406485907349294e-69
